symbol,name,sector,segment
PRDO,Perdoceo Education Corp.,Consumer Discretionary,small
PRG,"PROG Holdings, Inc.",Financials,small
PRGO,Perrigo,Health Care,small
PRGS,Progress Software Corporation,Information Technology,small
PRIM,Primoris Services Corporation,Industrials,small
PRK,Park National Corp.,Financials,small
PRKS,United Parks & Resorts,Consumer Discretionary,small
PRLB,Protolabs,Industrials,small
PRSU,"Pursuit Attractions & Hospitality, Inc.",Consumer Discretionary,small
PRVA,"Privia Health Group, Inc.",Health Care,small
PSMT,PriceSmart,Consumer Staples,small
PTCT,"PTC Therapeutics, Inc.",Health Care,small
PTEN,"Patterson-UTI Energy, Inc.",Energy,small
PTGX,"Protagonist Therapeutics, Inc.",Health Care,small
PTON,"Peloton Interactive, Inc.",Consumer Discretionary,small
PZZA,Papa John's Pizza,Consumer Discretionary,small
QDEL,QuidelOrtho,Health Care,small
QNST,"QuinStreet, Inc.",Communication Services,small
QRVO,Qorvo,Information Technology,small
QTWO,"Q2 Holdings, Inc.",Information Technology,small
RAMP,"LiveRamp Holdings, Inc.",Information Technology,small
RAL,Ralliant Corp,Information Technology,small
RCUS,"Arcus Biosciences, Inc.",Health Care,small
RDN,"Radian Group, Inc.",Financials,small
RDNT,"RadNet, Inc.",Health Care,small
RELY,Remitly,Financials,small
RES,"RPC, Inc.",Energy,small
REYN,Reynolds Consumer Products,Consumer Staples,small
REX,REX American Resources Corporation,Energy,small
REZI,"Resideo Technologies, Inc.",Industrials,small
RHI,Robert Half,Industrials,small
RHP,Ryman Hospitality Properties,Real Estate,small
RITM,Rithm Capital,Financials,small
RNG,"RingCentral, Inc.",Information Technology,small
RNST,Renasant Corp.,Financials,small
ROAD,"Construction Partners, Inc.",Industrials,small
ROCK,"Gibraltar Industries, Inc.",Industrials,small
ROG,Rogers Corporation,Information Technology,small
RRR,"Red Rock Resorts, Inc.",Consumer Discretionary,small
RSI,"Rush Street Interactive, Inc.",Consumer Discretionary,small
RUN,Sunrun,Industrials,small
RUSHA,Rush Enterprises,Industrials,small
RXO,"RXO, Inc.",Industrials,small
SAFE,"Safehold, Inc.",Real Estate,small
SABR,Sabre,Consumer Discretionary,small
SAFT,"Safety Insurance Group, Inc.",Financials,small
SAH,"Sonic Automotive, Inc.",Consumer Discretionary,small
SBCF,Seacoast Banking Corporation of Florida,Financials,small
SBH,"Sally Beauty Holdings, Inc.",Consumer Discretionary,small
SBSI,"Southside Bancshares, Inc.",Financials,small
SCHL,Scholastic Corporation,Consumer Discretionary,small
SCL,Stepan Company,Materials,small
SCSC,"ScanSource, Inc.",Information Technology,small
SDGR,"Schrödinger, Inc.",Health Care,small
SEDG,SolarEdge,Information Technology,small
SEI,"Solaris Energy Infrastructure, Inc.",Energy,small
SEZL,Sezzle,Financials,small
SFBS,"ServisFirst Bancshares, Inc.",Financials,small
SFNC,Simmons First National Corporation,Financials,small
SHAK,"Shake Shack, Inc.",Consumer Discretionary,small
SHEN,Shenandoah Telecommunications Co,Communication Services,small
SHO,"Sunstone Hotel Investors, Inc.",Real Estate,small
SHOO,"Steven Madden, Ltd.",Consumer Discretionary,small
SIG,Signet Jewelers,Consumer Discretionary,small
SKT,"Tanger Factory Outlet Centers, Inc.",Real Estate,small
SKY,"Champion Homes, Inc.",Consumer Discretionary,small
SKYW,"SkyWest, Inc.",Industrials,small
SLG,SL Green Realty,Real Estate,small
SLVM,Sylvamo Corp.,Materials,small
SM,SM Energy Company,Energy,small
SMP,"Standard Motor Products, Inc.",Consumer Discretionary,small
SMPL,Simply Good Foods Company,Consumer Staples,small
SNDR,Schneider National,Industrials,small
SNEX,StoneX Group Inc.,Financials,small
SONO,"Sonos, Inc.",Consumer Discretionary,small
SPHR,Sphere Entertainment,Communication Services,small
SPNT,SiriusPoint Ltd.,Financials,small
SPSC,"SPS Commerce, Inc.",Information Technology,small
SRPT,Sarepta Therapeutics,Health Care,small
STAA,STAAR Surgical Company,Health Care,small
STBA,"S&T Bancorp, Inc.",Financials,small
STC,Stewart Information Services Corporation,Financials,small
STEP,StepStone Group,Financials,small
STRA,"Strategic Education, Inc.",Consumer Discretionary,small
SUPN,"Supernus Pharmaceuticals, Inc.",Health Care,small
SXI,Standex International Corporation,Industrials,small
SXT,Sensient Technologies,Materials,small
TALO,"Talos Energy, Inc.",Energy,small
TBBK,"The Bancorp, Inc.",Financials,small
TDC,Teradata,Information Technology,small
TDS,"Telephone and Data Systems, Inc.",Communication Services,small
TDW,"Tidewater, Inc.",Energy,small
TFIN,"Triumph Bancorp, Inc.",Financials,small
TFX,Teleflex,Health Care,small
TGTX,"TG Therapeutics, Inc.",Health Care,small
THRM,Gentherm Incorporated,Consumer Discretionary,small
TILE,"Interface, Inc.",Industrials,small
TMDX,"TransMedics Group, Inc.",Health Care,small
TMP,Tompkins Financial Corporation,Financials,small
TNC,Tennant Company,Industrials,small
TNDM,Tandem Diabetes Care,Health Care,small
TPC,Tutor Perini Corporation,Industrials,small
TR,"Tootsie Roll Industries, Inc.",Consumer Staples,small
TRIP,TripAdvisor,Communication Services,small
TRMK,Trustmark Corp.,Financials,small
TRN,"Trinity Industries, Inc.",Industrials,small
TRNO,Terreno Realty Corporation,Real Estate,small
TRST,TrustCo Bank Corp NY,Financials,small
TRUP,Trupanion,Financials,small
UA,Under Armour (Class C),Consumer Discretionary,small
UAA,Under Armour (Class A),Consumer Discretionary,small
UCB,"United Community Banks, Inc.",Financials,small
UCTT,"Ultra Clean Holdings, Inc.",Information Technology,small
UE,Urban Edge Properties,Real Estate,small
UFCS,"United Fire Group, Inc.",Financials,small
UFPT,"UFP Technologies, Inc.",Health Care,small
UNF,UniFirst Corporation,Industrials,small
UNFI,United Natural Foods Inc,Consumer Staples,small
UNIT,Uniti Group,Communication Services,small
UPBD,"Upbound Group, Inc.",Consumer Discretionary,small
UPWK,"Upwork, Inc.",Industrials,small
URBN,"Urban Outfitters, Inc.",Consumer Discretionary,small
USLM,"United States Lime & Minerals, Inc.",Materials,small
USPH,"U.S. Physical Therapy, Inc.",Health Care,small
UTI,Universal Technical Institute,Consumer Discretionary,small
UTL,Unitil Corporation,Utilities,small
UVV,Universal Corporation,Consumer Staples,small
VAC,Marriott Vacations Worldwide,Consumer Discretionary,small
VCEL,Vericel,Health Care,small
VCTR,"Victory Capital Holdings, Inc.",Financials,small
VCYT,"Veracyte, Inc.",Health Care,small
VECO,Veeco Instruments Inc.,Information Technology,small
VGNT,Versigent PLC,Consumer Discretionary,small
VIR,"Vir Biotechnology, Inc.",Health Care,small
VIRT,"Virtu Financial, Inc.",Financials,small
VRRM,Verra Mobility Corporation,Industrials,small
VRTS,"Virtus Investment Partners, Inc.",Financials,small
VSAT,"Viasat, Inc.",Information Technology,small
VSEC,VSE Corporation,Industrials,small
VSH,Vishay Intertechnology,Information Technology,small
VSNT,"Versant Media Group, Inc.",Communication Services,small
VSTS,Vestis,Industrials,small
VSXY,Victoria's Secret,Consumer Discretionary,small
VTOL,Bristow Group Inc.,Energy,small
VVX,"V2X, Inc.",Industrials,small
VYX,NCR Voyix,Information Technology,small
WABC,Westamerica Bank,Financials,small
WAFD,"WaFd, Inc.",Financials,small
WAY,Waystar Holding Corp,Health Care,small
WD,"Walker & Dunlop, Inc.",Financials,small
WDFC,WD-40 Company,Consumer Staples,small
WEN,The Wendy's Company,Consumer Discretionary,small
WERN,Werner Enterprises,Industrials,small
WGO,"Winnebago Industries, Inc.",Consumer Discretionary,small
WHD,"Cactus, Inc.",Energy,small
WINA,Winmark,Consumer Discretionary,small
WKC,World Kinect Corporation,Energy,small
WLY,John Wiley & Sons,Communication Services,small
WOR,Worthington Enterprises,Industrials,small
WRBY,Warby Parker,Consumer Discretionary,small
WRLD,World Acceptance Corporation,Financials,small
WS,Worthington Steel,Materials,small
WSBC,WesBanco,Financials,small
WSC,WillScot Holdings Corp.,Industrials,small
WSFS,WSFS Financial Corporation,Financials,small
WT,"WisdomTree Investments, Inc.",Financials,small
WU,Western Union,Financials,small
WWW,"Wolverine World Wide, Inc.",Consumer Discretionary,small
XHR,"Xenia Hotels & Resorts, Inc.",Real Estate,small
XNCR,Xencor Inc,Health Care,small
XPEL,"XPEL, Inc.",Consumer Discretionary,small
YELP,"Yelp, Inc.",Communication Services,small
YOU,"Clear Secure, Inc.",Information Technology,small
ZD,Ziff Davis,Communication Services,small
ZWS,Zurn Elkay Water Solutions Corp.,Industrials,small
